slide,fribbleID,category,frequency,label,body,block
1,10175,1,75,tob,red,1
2,20275,2,75,wug,purple,1
3,30400,4,100,bim,lightblue,1
4,40325,3,25,dep,red,1
5,50225,2,25,wug,blue,1
6,60375,3,75,dep,blue,1
7,70275,2,75,wug,purple,1
8,80400,4,100,bim,lightblue,1
9,90275,2,75,wug,purple,1
10,100375,3,75,dep,blue,1
11,110175,1,75,tob,red,1
12,120375,3,75,dep,blue,1
13,130400,4,100,bim,lightblue,1
14,140275,2,75,wug,purple,1
15,150175,1,75,tob,red,1
16,160325,3,25,dep,red,1
17,170400,4,100,bim,lightblue,1
18,180125,1,25,tob,purple,1
19,190225,2,25,wug,blue,1
20,200400,4,100,bim,lightblue,1
21,210375,3,75,dep,blue,1
22,220400,4,100,bim,lightblue,1
23,230175,1,75,tob,red,1
24,240275,2,75,wug,purple,1
25,250325,3,25,dep,red,1
26,260275,2,75,wug,purple,1
27,270400,4,100,bim,lightblue,1
28,280375,3,75,dep,blue,1
29,290175,1,75,tob,red,1
30,300375,3,75,dep,blue,1
31,310275,2,75,wug,purple,1
32,320125,1,25,tob,purple,1
33,330400,4,100,bim,lightblue,1
34,340175,1,75,tob,red,1
35,350400,4,100,bim,lightblue,1
36,360375,3,75,dep,blue,1
37,370175,1,75,tob,red,1
38,380275,2,75,wug,purple,1
39,390400,4,100,bim,lightblue,1
40,400175,1,75,tob,red,1
41,410400,4,100,bim,lightblue,1
42,420375,3,75,dep,blue,1
43,430275,2,75,wug,purple,1
44,440400,4,100,bim,lightblue,1
45,450275,2,75,wug,purple,1
46,460375,3,75,dep,blue,1
47,470125,1,25,tob,purple,1
48,480400,4,100,bim,lightblue,1
49,490325,3,25,dep,red,1
50,500125,1,25,tob,purple,1
51,510400,4,100,bim,lightblue,1
52,520225,2,25,wug,blue,1
53,530125,1,25,tob,purple,1
54,540375,3,75,dep,blue,1
55,550400,4,100,bim,lightblue,1
56,560175,1,75,tob,red,1
57,570375,3,75,dep,blue,1
58,580225,2,25,wug,blue,1
59,590375,3,75,dep,blue,1
60,600275,2,75,wug,purple,1
61,610400,4,100,bim,lightblue,1
62,620375,3,75,dep,blue,1
63,630400,4,100,bim,lightblue,1
64,640175,1,75,tob,red,1
65,650275,2,75,wug,purple,1
66,660375,3,75,dep,blue,1
67,670175,1,75,tob,red,1
68,680275,2,75,wug,purple,1
69,690175,1,75,tob,red,1
70,700325,3,25,dep,red,1
71,710225,2,25,wug,blue,1
72,720400,4,100,bim,lightblue,1
73,730275,2,75,wug,purple,1
74,740375,3,75,dep,blue,1
75,750175,1,75,tob,red,1
76,760400,4,100,bim,lightblue,1
77,770175,1,75,tob,red,1
78,780275,2,75,wug,purple,1
79,790400,4,100,bim,lightblue,1
80,800175,1,75,tob,red,1
81,810275,2,75,wug,purple,2
82,820400,4,100,bim,lightblue,2
83,830225,2,25,wug,blue,2
84,840325,3,25,dep,red,2
85,850400,4,100,bim,lightblue,2
86,860175,1,75,tob,red,2
87,870275,2,75,wug,purple,2
88,880175,1,75,tob,red,2
89,890400,4,100,bim,lightblue,2
90,900375,3,75,dep,blue,2
91,910275,2,75,wug,purple,2
92,920175,1,75,tob,red,2
93,930400,4,100,bim,lightblue,2
94,940125,1,25,tob,purple,2
95,950275,2,75,wug,purple,2
96,960175,1,75,tob,red,2
97,970375,3,75,dep,blue,2
98,980400,4,100,bim,lightblue,2
99,990375,3,75,dep,blue,2
100,1000400,4,100,bim,lightblue,2
101,1010175,1,75,tob,red,2
102,1020400,4,100,bim,lightblue,2
103,1030325,3,25,dep,red,2
104,1040125,1,25,tob,purple,2
105,1050375,3,75,dep,blue,2
106,1060225,2,25,wug,blue,2
107,1070400,4,100,bim,lightblue,2
108,1080325,3,25,dep,red,2
109,1090275,2,75,wug,purple,2
110,1100400,4,100,bim,lightblue,2
111,1110175,1,75,tob,red,2
112,1120275,2,75,wug,purple,2
113,1130175,1,75,tob,red,2
114,1140275,2,75,wug,purple,2
115,1150400,4,100,bim,lightblue,2
116,1160375,3,75,dep,blue,2
117,1170175,1,75,tob,red,2
118,1180375,3,75,dep,blue,2
119,1190275,2,75,wug,purple,2
120,1200375,3,75,dep,blue,2
121,1210400,4,100,bim,lightblue,2
122,1220275,2,75,wug,purple,2
123,1230400,4,100,bim,lightblue,2
124,1240175,1,75,tob,red,2
125,1250400,4,100,bim,lightblue,2
126,1260175,1,75,tob,red,2
127,1279375,3,75,dep,blue,2
128,1280275,2,75,wug,purple,2
129,1290175,1,75,tob,red,2
130,1300225,2,25,wug,blue,2
131,1310400,4,100,bim,lightblue,2
132,1320325,3,25,dep,red,2
133,1330175,1,75,tob,red,2
134,1340375,3,75,dep,blue,2
135,1350175,1,75,tob,red,2
136,1360275,2,75,wug,purple,2
137,1370175,1,75,tob,red,2
138,1380400,4,100,bim,lightblue,2
139,1390275,2,75,wug,purple,2
140,1400375,3,75,dep,blue,2
141,1410175,1,75,tob,red,2
142,1420275,2,75,wug,purple,2
143,1430400,4,100,bim,lightblue,2
144,1440375,3,75,dep,blue,2
145,1450400,4,100,bim,lightblue,2
146,1460125,1,25,tob,purple,2
147,1470225,2,25,wug,blue,2
148,1480400,4,100,bim,lightblue,2
149,1490375,3,75,dep,blue,2
150,1500225,2,25,wug,blue,2
151,1510375,3,75,dep,blue,2
152,1520275,2,75,wug,purple,2
153,1530400,4,100,bim,lightblue,2
154,1540125,1,25,tob,purple,2
155,1550325,3,25,dep,red,2
156,1560400,4,100,bim,lightblue,2
157,1570375,3,75,dep,blue,2
158,1580125,1,25,tob,purple,2
159,1590375,3,75,dep,blue,2
160,1600275,2,75,wug,purple,2
