x1,x2,y1,y2,ROI,screen
0.0501644736842105,0.949835526315789,0.099780701754386,0.919956140350877,fribble,2
0.350328947368421,0.660361842105263,0.599780701754386,1,cITI,3
0,0.310032894736842,0.150219298245614,0.550438596491228,lITI,3
0.689967105263158,1,0.160087719298246,0.56030701754386,rITI,3
0.350328947368421,0.660361842105263,0.599780701754386,1,cLabel,4
0,0.310032894736842,0.150219298245614,0.550438596491228,lLabel,4
0.689967105263158,1,0.160087719298246,0.56030701754386,rLabel,4
0.350328947368421,0.660361842105263,0.609649122807018,1,cButton,5
0,0.310032894736842,0.140350877192982,0.550438596491228,lButton,5
0.689967105263158,1,0.150219298245614,0.550438596491228,rButton,5
