subjID,expeType,match,mismatch-type1,diff,zScore_diff,task
3394859,pilot1,93.2666666666667,-99.9,193.166666666667,1.31364364697454,contingency
3421453,pilot1,63.0666666666667,-74.9666666666667,138.033333333333,0.697366380492657,contingency
3424063,pilot1,99.1,-99.3333333333333,198.433333333333,1.3725141476421,contingency
3430836,pilot1,59.5,-70.7,130.2,0.609805825702305,contingency
3467073,pilot1,-11.4333333333333,3.13333333333333,-14.5666666666667,-1.0083877464445,contingency
3473048,pilot1,-0.833333333333333,-8,7.16666666666667,-0.765453781664461,contingency
3475213,pilot1,65.5,-59.5333333333333,125.033333333333,0.552053119351222,contingency
3481518,pilot1,89.5,-90.4,179.9,1.16534960098918,contingency
3491839,pilot1,-27.5,32.3666666666667,-59.8666666666667,-1.51474857180658,contingency
3502047,pilot2,7.46666666666667,2.93333333333333,4.53333333333333,-0.794889031998239,contingency
3502650,pilot2,-0.166666666666667,0,-0.166666666666667,-0.84742536487245,contingency
3502663,pilot2,93.0333333333333,-99.6,192.633333333333,1.30768207728669,contingency
3517616,pilot2,13.8666666666667,5.1,8.76666666666667,-0.747569072600899,contingency
3517626,pilot2,3.43333333333333,26.1,-22.6666666666667,-1.09892908607878,contingency
3518198,pilot2,14.4,-28.1666666666667,42.5666666666667,-0.369754593633167,contingency
3528246,pilot2,99.8666666666667,-99.9666666666667,199.833333333333,1.38816326807271,contingency
3528247,pilot2,46.9333333333333,-42.8,89.7333333333333,0.1574717256364,contingency
3528252,pilot2,21.3333333333333,-5.56666666666667,26.9,-0.544875703213871,contingency
3528273,pilot2,4.2,6.56666666666667,-2.36666666666667,-0.872016839834847,contingency
