fribbleID,category,frequency,label
10175,1,high,dep
10275,1,high,dep
10375,1,high,dep
10475,1,high,dep
10575,1,high,dep
10675,1,high,dep
10775,1,high,dep
10875,1,high,dep
10975,1,high,dep
11075,1,high,dep
11175,1,high,dep
11275,1,high,dep
11375,1,high,dep
11475,1,high,dep
11575,1,high,dep
11675,1,high,dep
11775,1,high,dep
11875,1,high,dep
11975,1,high,dep
12075,1,high,dep
12175,1,high,dep
12275,1,high,dep
12375,1,high,dep
12475,1,high,dep
12575,1,high,dep
12675,1,high,dep
12775,1,high,dep
12875,1,high,dep
12975,1,high,dep
13075,1,high,dep
13175,1,high,dep
13275,1,high,dep
13375,1,high,dep
13475,1,high,dep
13575,1,high,dep
10125,1,low,dep
10225,1,low,dep
10325,1,low,dep
10425,1,low,dep
10525,1,low,dep
10625,1,low,dep
10725,1,low,dep
10825,1,low,dep
10925,1,low,dep
11025,1,low,dep
11125,1,low,dep
11225,1,low,dep
11325,1,low,dep
11425,1,low,dep
11525,1,low,dep
11625,1,low,dep
11725,1,low,dep
11825,1,low,dep
11925,1,low,dep
12025,1,low,dep
12125,1,low,dep
12225,1,low,dep
12325,1,low,dep
12425,1,low,dep
12525,1,low,dep
20175,2,high,wug
20275,2,high,wug
20375,2,high,wug
20475,2,high,wug
20575,2,high,wug
20675,2,high,wug
20775,2,high,wug
20875,2,high,wug
20975,2,high,wug
21075,2,high,wug
21175,2,high,wug
21275,2,high,wug
21375,2,high,wug
21475,2,high,wug
21575,2,high,wug
21675,2,high,wug
21775,2,high,wug
21875,2,high,wug
21975,2,high,wug
22075,2,high,wug
22175,2,high,wug
22275,2,high,wug
22375,2,high,wug
22475,2,high,wug
22575,2,high,wug
22675,2,high,wug
22775,2,high,wug
22875,2,high,wug
22975,2,high,wug
23075,2,high,wug
23175,2,high,wug
23275,2,high,wug
23375,2,high,wug
23475,2,high,wug
23575,2,high,wug
20125,2,low,wug
20225,2,low,wug
20325,2,low,wug
20425,2,low,wug
20525,2,low,wug
20625,2,low,wug
20725,2,low,wug
20825,2,low,wug
20925,2,low,wug
21025,2,low,wug
21125,2,low,wug
21225,2,low,wug
21325,2,low,wug
21425,2,low,wug
21525,2,low,wug
21625,2,low,wug
21725,2,low,wug
21825,2,low,wug
21925,2,low,wug
22025,2,low,wug
22125,2,low,wug
22225,2,low,wug
22325,2,low,wug
22425,2,low,wug
22525,2,low,wug
30175,3,high,tob
30275,3,high,tob
30375,3,high,tob
30475,3,high,tob
30575,3,high,tob
30675,3,high,tob
30775,3,high,tob
30875,3,high,tob
30975,3,high,tob
31075,3,high,tob
31175,3,high,tob
31275,3,high,tob
31375,3,high,tob
31475,3,high,tob
31575,3,high,tob
31675,3,high,tob
31775,3,high,tob
31875,3,high,tob
31975,3,high,tob
32075,3,high,tob
32175,3,high,tob
32275,3,high,tob
32375,3,high,tob
32475,3,high,tob
32575,3,high,tob
32675,3,high,tob
32775,3,high,tob
32875,3,high,tob
32975,3,high,tob
33075,3,high,tob
33175,3,high,tob
33275,3,high,tob
33375,3,high,tob
33475,3,high,tob
33575,3,high,tob
30125,3,low,tob
30225,3,low,tob
30325,3,low,tob
30425,3,low,tob
30525,3,low,tob
30625,3,low,tob
30725,3,low,tob
30825,3,low,tob
30925,3,low,tob
31025,3,low,tob
31125,3,low,tob
31225,3,low,tob
31325,3,low,tob
31425,3,low,tob
31525,3,low,tob
31625,3,low,tob
31725,3,low,tob
31825,3,low,tob
31925,3,low,tob
32025,3,low,tob
32125,3,low,tob
32225,3,low,tob
32325,3,low,tob
32425,3,low,tob
32525,3,low,tob
bim1,4,control,bim
bim2,4,control,bim
bim3,4,control,bim
bim4,4,control,bim
bim5,4,control,bim
bim6,4,control,bim
bim7,4,control,bim
bim8,4,control,bim
bim9,4,control,bim
bim10,4,control,bim
bim11,4,control,bim
bim12,4,control,bim
bim13,4,control,bim
bim14,4,control,bim
bim15,4,control,bim
bim16,4,control,bim
bim17,4,control,bim
bim18,4,control,bim
bim19,4,control,bim
bim20,4,control,bim
bim21,4,control,bim
bim22,4,control,bim
bim23,4,control,bim
bim24,4,control,bim
bim25,4,control,bim
