task,subjID,trial,resp,ObjectType,correctLabel,frequency,acc
2AFC Pairing,3568942,1,tob,Lwug,wug,low,0
2AFC Pairing,3568942,2,wug,Hwug,wug,high,1
2AFC Pairing,3568942,3,tob,Lwug,wug,low,0
2AFC Pairing,3568942,4,tob,Htob,tob,high,1
2AFC Pairing,3568942,5,tob,Central_02,wug,centralObj,0
2AFC Pairing,3568942,6,tob,Central_02,wug,centralObj,0
2AFC Pairing,3568942,7,tob,Htob,tob,high,1
2AFC Pairing,3568942,8,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568942,9,wug,Hwug,wug,high,1
2AFC Pairing,3568942,10,tob,Ltob,tob,low,1
2AFC Pairing,3568942,11,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568942,12,tob,Ltob,tob,low,1
2AFC Pairing,3568637,1,wug,Lwug,wug,low,1
2AFC Pairing,3568637,2,tob,Hwug,wug,high,0
2AFC Pairing,3568637,3,wug,Lwug,wug,low,1
2AFC Pairing,3568637,4,wug,Central_02,wug,centralObj,1
2AFC Pairing,3568637,5,tob,Htob,tob,high,1
2AFC Pairing,3568637,6,wug,Ltob,tob,low,0
2AFC Pairing,3568637,7,tob,Htob,tob,high,1
2AFC Pairing,3568637,8,NA,Central_01,tob,centralObj,NA
2AFC Pairing,3568637,9,wug,Ltob,tob,low,0
2AFC Pairing,3568637,10,tob,Central_02,wug,centralObj,0
2AFC Pairing,3568637,11,tob,Central_01,tob,centralObj,1
2AFC Pairing,3568637,12,tob,Hwug,wug,high,0
2AFC Pairing,3568694,1,wug,Ltob,tob,low,0
2AFC Pairing,3568694,2,wug,Lwug,wug,low,1
2AFC Pairing,3568694,3,wug,Htob,tob,high,0
2AFC Pairing,3568694,4,tob,Ltob,tob,low,1
2AFC Pairing,3568694,5,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568694,6,wug,Lwug,wug,low,1
2AFC Pairing,3568694,7,tob,Hwug,wug,high,0
2AFC Pairing,3568694,8,tob,Hwug,wug,high,0
2AFC Pairing,3568694,9,tob,Central_02,wug,centralObj,0
2AFC Pairing,3568694,10,tob,Central_02,wug,centralObj,0
2AFC Pairing,3568694,11,wug,Htob,tob,high,0
2AFC Pairing,3568694,12,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568681,1,wug,Ltob,tob,low,0
2AFC Pairing,3568681,2,wug,Central_02,wug,centralObj,1
2AFC Pairing,3568681,3,wug,Central_02,wug,centralObj,1
2AFC Pairing,3568681,4,wug,Htob,tob,high,0
2AFC Pairing,3568681,5,wug,Htob,tob,high,0
2AFC Pairing,3568681,6,wug,Hwug,wug,high,1
2AFC Pairing,3568681,7,wug,Lwug,wug,low,1
2AFC Pairing,3568681,8,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568681,9,wug,Ltob,tob,low,0
2AFC Pairing,3568681,10,wug,Hwug,wug,high,1
2AFC Pairing,3568681,11,wug,Central_01,tob,centralObj,0
2AFC Pairing,3568681,12,wug,Lwug,wug,low,1
2AFC Pairing,3468157,1,wug,Central_02,wug,centralObj,1
2AFC Pairing,3468157,2,wug,Hwug,wug,high,1
2AFC Pairing,3468157,3,wug,Hwug,wug,high,1
2AFC Pairing,3468157,4,tob,Htob,tob,high,1
2AFC Pairing,3468157,5,wug,Central_02,wug,centralObj,1
2AFC Pairing,3468157,6,NA,Lwug,wug,low,NA
2AFC Pairing,3468157,7,NA,Ltob,tob,low,NA
2AFC Pairing,3468157,8,tob,Central_01,tob,centralObj,1
2AFC Pairing,3468157,9,tob,Htob,tob,high,1
2AFC Pairing,3468157,10,NA,Ltob,tob,low,NA
2AFC Pairing,3468157,11,tob,Central_01,tob,centralObj,1
2AFC Pairing,3468157,12,NA,Lwug,wug,low,NA
2AFC Pairing,3496435,1,wug,Ltob,tob,low,0
2AFC Pairing,3496435,2,tob,Central_01,tob,centralObj,1
2AFC Pairing,3496435,3,wug,Lwug,wug,low,1
2AFC Pairing,3496435,4,wug,Lwug,wug,low,1
2AFC Pairing,3496435,5,tob,Central_02,wug,centralObj,0
2AFC Pairing,3496435,6,tob,Central_01,tob,centralObj,1
2AFC Pairing,3496435,7,tob,Hwug,wug,high,0
2AFC Pairing,3496435,8,tob,Hwug,wug,high,0
2AFC Pairing,3496435,9,wug,Ltob,tob,low,0
2AFC Pairing,3496435,10,NA,Htob,tob,high,NA
2AFC Pairing,3496435,11,tob,Htob,tob,high,1
2AFC Pairing,3496435,12,tob,Central_02,wug,centralObj,0
2AFC Pairing,3510628,1,wug,Central_02,wug,centralObj,1
2AFC Pairing,3510628,2,wug,Htob,tob,high,0
2AFC Pairing,3510628,3,wug,Lwug,wug,low,1
2AFC Pairing,3510628,4,wug,Htob,tob,high,0
2AFC Pairing,3510628,5,wug,Hwug,wug,high,1
2AFC Pairing,3510628,6,tob,Central_01,tob,centralObj,1
2AFC Pairing,3510628,7,wug,Central_02,wug,centralObj,1
2AFC Pairing,3510628,8,tob,Central_01,tob,centralObj,1
2AFC Pairing,3510628,9,wug,Ltob,tob,low,0
2AFC Pairing,3510628,10,wug,Hwug,wug,high,1
2AFC Pairing,3510628,11,wug,Ltob,tob,low,0
2AFC Pairing,3510628,12,wug,Lwug,wug,low,1
